t,Nx30,Nx40,Nx42
0,-351,-9560,-8856
0.1,-330.5,-8938.3,-8322.3
0.2,-310,-8316.6,-7788.6
0.3,-289.5,-7694.9,-7254.9
0.4,-269,-7073.2,-6721.2
0.5,-248.5,-6451.5,-6187.5
0.6,-228,-5829.8,-5653.8
0.7,-207.5,-5208.1,-5120.1
0.8,-187,-4586.4,-4586.4
0.9,-166.5,-3964.7,-4052.7
1,-146,-3343,-3519
1.1,-122.7,-3982.3,-4076.1
1.2,-99.4,-4621.6,-4633.2
1.3,-76.1,-5260.9,-5190.3
1.4,-52.8,-5900.2,-5747.4
1.5,-29.5,-6539.5,-6304.5
1.6,-6.2,-7178.8,-6861.6
1.7,17.1,-7818.1,-7418.7
1.8,40.4,-8457.4,-7975.8
1.9,63.7,-9096.7,-8532.9
2,87,-9736,-9090
