"t","Nx30","Nx40","Nx42"
0,909,-9618,-8973
0.1,316.7,-9565.2,-8970.1
0.2,-275.6,-9512.4,-8967.2
0.3,-867.9,-9459.6,-8964.3
0.4,-1460.2,-9406.8,-8961.4
0.5,-2052.5,-9354,-8958.5
0.6,-2644.8,-9301.2,-8955.6
0.7,-3237.1,-9248.40000000001,-8952.7
0.8,-3829.4,-9195.60000000001,-8949.8
0.9,-4421.7,-9142.80000000001,-8946.9
1,-5014,-9090.00000000001,-8944
1.1,-5069.7,-8755.70000000001,-8920.5
1.2,-5125.4,-8421.40000000001,-8897
1.3,-5181.1,-8087.10000000001,-8873.5
1.4,-5236.8,-7752.8,-8850
1.5,-5292.5,-7418.5,-8826.5
1.6,-5348.2,-7084.2,-8803
1.7,-5403.9,-6749.9,-8779.5
1.8,-5459.6,-6415.6,-8756
1.9,-5515.3,-6081.3,-8732.5
2,-5571,-5747,-8709
2.1,-4952.4,-6172.3,-8738.3
2.2,-4333.8,-6597.6,-8767.6
2.3,-3715.2,-7022.9,-8796.9
2.4,-3096.6,-7448.2,-8826.2
2.5,-2478,-7873.5,-8855.5
2.6,-1859.4,-8298.8,-8884.8
2.7,-1240.8,-8724.1,-8914.09999999999
2.8,-622.2,-9149.4,-8943.39999999999
2.9,-3.59999999999968,-9574.7,-8972.69999999999
3,615,-10000,-9001.99999999999
